Categoria,Nome do Produto,Calorias
Sanduíches de Carne Bovina,Cheeseburger,298 kcal
Sanduíches de Carne Bovina,Big Mac,499 Kcal
Sanduíches de Carne Bovina,Duplo Quarterão,819 Kcal
Sanduíches de Carne Bovina,Quarterão com Queijo,549 Kcal
Sanduíches de Carne Bovina,McNífico Bacon,640 Kcal
Sanduíches de Carne Bovina,Duplo Cheddar McMelt,855 Kcal
Sanduíches de Carne Bovina,Cheddar McMelt,505 Kcal
Sanduíches de Carne Bovina,Duplo Burger Bacon,478 Kcal
Sanduíches de Carne Bovina,Duplo Burger com Queijo,406 Kcal
Sanduíches de Carne Bovina,Triplo Burger,545 Kcal
Sanduíches de Carne Bovina,McFiesta,251 Kcal
Sanduíches de Carne Bovina,Hamburger,249 Kcal
Sanduíches de Frango,McCrispy Chicken Melt & Bacon,628 kcal
Sanduíches de Frango,McCrispy Chicken Elite,704 Kcal
Sanduíches de Frango,McCrispy Chicken Legend,926 Kcal
Sanduíches de Frango,McCrispy Chicken Deluxe,625 Kcal
Sanduíches de Frango,McChicken Bacon,448 Kcal
Sanduíches de Frango,McChicken,396 Kcal
Sanduíches de Frango,Chicken Jr.,343 Kcal
Família Tasty,Big Tasty Turbo Queijo,1052 kcal
Família Tasty,Big Tasty,852 Kcal
Brabos do Méqui,Brabo Melt Crispy,1057 kcal
Brabos do Méqui,Brabo Bacon Salad,1051 Kcal
Acompanhamentos,Chicken McNuggets 10 unidades,387 kcal
Acompanhamentos,McFritas Cheddar Bacon,428 Kcal
Acompanhamentos,McFritas Grande,422 Kcal
Acompanhamentos,McFritas Média,295 Kcal
Acompanhamentos,McFritas Pequena,211 Kcal
Acompanhamentos,McFritas Kids,92 Kcal
Acompanhamentos,Chicken McNuggets 4 unidades,155 Kcal
Acompanhamentos,Molho Agridoce,44 Kcal
Acompanhamentos,Molho Barbecue,40 Kcal
Acompanhamentos,Molho Ranch,109 Kcal
Acompanhamentos,Molho Caipira,51 Kcal
Acompanhamentos,Chicken McNuggets 6 unidades,232 Kcal
Acompanhamentos,Ketchup,8.3 Kcal
Acompanhamentos,Mostarda,3.8 Kcal
Acompanhamentos,Tomatinho,11 Kcal
Acompanhamentos,Chicken McNuggets 15 unidades,581 Kcal
Acompanhamentos,Quadradão de Molho CBO,384 Kcal
Acompanhamentos,Quadradão de Molho Tasty,304 Kcal
Méqui 1000,SuperMc,795 kcal
Méqui 1000,McRings Cheddar Bacon,715 Kcal
Méqui 1000,Caldo&Freddo Chocolate,483 Kcal
Méqui 1000,Caldo&Freddo Morango,468 Kcal
Méqui 1000,McRings Bacon,884 Kcal
Méqui 1000,Side Salad,11 Kcal
Méqui 1000,McFloat,144 Kcal
Café da Manhã,Pão de Queijo,145 kcal
Café da Manhã,Mini Pão de Queijo,228 Kcal
Café da Manhã,Pão de queijo Recheado com Molho sabor Cheddar,181.2 Kcal
Café da Manhã,Queijo Quente,237 Kcal
Café da Manhã,Queijo Quente com Bacon,415.2 Kcal
Café da Manhã,Pão tipo Brioche na Chapa,280.5 Kcal
Café da Manhã,Egg Burger,413.1 Kcal
Café da Manhã,Egg Cheese Bacon,382.7 Kcal
Café da Manhã,Duplo Egg Cheese Bacon,442.4 Kcal
Café da Manhã,Capuccino 300ml,119 Kcal
Café da Manhã,Capuccino 200ml,74 Kcal
Café da Manhã,Café com Leite 200ml,53 Kcal
Café da Manhã,Café com Leite 300ml,79 Kcal
Café da Manhã,Café Premium 300ml,12 Kcal
Café da Manhã,Café Premium 100ml,4 Kcal
Café da Manhã,Café Premium 200ml,8 Kcal
Café da Manhã,Chocolate Quente 300ml,178 Kcal
Café da Manhã,Chocolate Quente 200ml,119 Kcal
Café da Manhã,Pão de queijo recheado com molho com queijo mussarela,190 Kcal
Café da Manhã,Queijo quente com cebola crispy,297 Kcal
Café da Manhã,Queijo quente duplo queijo,238 Kcal
Café da Manhã,Pão tipo Brioche com molho com queijo mussarela,252 Kcal
McCafé,Pão de Queijo,136 kcal
McCafé,Mini Pão de Queijo,227 Kcal
McCafé,Croissant de Chocolate,407 Kcal
McCafé,Folhado com Queijo e Tomate,416 Kcal
McCafé,Espresso Curto (Ristretto),1 Kcal
McCafé,Espresso Simples,1 Kcal
McCafé,Café Americano,2 Kcal
McCafé,Espresso Duplo,2 Kcal
McCafé,Macchiato,13 Kcal
McCafé,Caffé Latte,39 Kcal
McCafé,Cappuccino,196 Kcal
McCafé,Chocolate Quente,143 Kcal
McCafé,Iced Mix Café,293 Kcal
McCafé,Iced Mix Morango,189 Kcal
McCafé,Café Chantilly,240 Kcal
McCafé,Moca Mix,326 Kcal
McCafé,Donuts Dark,231 Kcal
McCafé,Donuts Frappe,211 Kcal
McCafé,Bolo de Chocolate,550 Kcal
McCafé,Bolo de Banana com Nozes,483 Kcal
McCafé,Bolo de Laranja,447 Kcal
McCafé,Medialuna,148 Kcal
McCafé,Smoothie de Laranja,93 Kcal
McCafé,Smoothie de Uva,93 Kcal
McCafé,McShake de Café,326 Kcal
McCafé,Affogato,132 Kcal
McCafé,Affogato crunch,233 Kcal
McCafé,Iced Latte,64 Kcal
Bebidas Quentes,Café Premium 100ml,4 kcal
Bebidas Quentes,Café Premium 200ml,8 Kcal
Bebidas Quentes,Café Premium 300ml,12 Kcal
Bebidas Quentes,Café com Leite 200ml,53 Kcal
Bebidas Quentes,Café com Leite 300ml,79 Kcal
Bebidas Quentes,Capuccino 200ml,74 Kcal
Bebidas Quentes,Capuccino 300ml,119 Kcal
Bebidas Quentes,Chocolate Quente 200ml,119 Kcal
Bebidas Quentes,Chocolate Quente 300ml,178 Kcal
Bebidas Frias,Sprite X Tangerina e Morango 300 ml,19 kcal
Bebidas Frias,Sprite X Tangerina e Morango 500 ml,36 Kcal
Bebidas Frias,Sprite X Tangerina e Morango 700 ml,53 Kcal
Bebidas Frias,Sprite X Maçã Verde 300 ml,19 Kcal
Bebidas Frias,Sprite X Maçã Verde 500 ml,37 Kcal
Bebidas Frias,Sprite X Maçã Verde 700 ml,55 Kcal
Bebidas Frias,Coca-Cola 300ml,125 Kcal
Bebidas Frias,Fanta Laranja 500ml,198 Kcal
Bebidas Frias,Fanta Laranja 700ml,277 Kcal
Bebidas Frias,Coca-Cola 500ml,209 Kcal
Bebidas Frias,Coca-Cola 700ml,292 Kcal
Bebidas Frias,Coca-Cola Zero 300ml,0 Kcal
Bebidas Frias,Coca-Cola Zero 500ml,0 Kcal
Bebidas Frias,Coca-Cola Zero 700ml,0 Kcal
Bebidas Frias,Fanta Laranja 300ml,119 Kcal
Bebidas Frias,Fanta Guaraná 300ml,120 Kcal
Bebidas Frias,Fanta Guaraná 500ml,200 Kcal
Bebidas Frias,Fanta Guaraná 700ml,280 Kcal
Bebidas Frias,Sprite sem Açúcar 300ml,4.5 Kcal
Bebidas Frias,Sprite sem Açúcar 500ml,7.5 Kcal
Bebidas Frias,Sprite sem Açúcar 700ml,11 Kcal
Bebidas Frias,Del Valle Laranja 300ml,120 Kcal
Bebidas Frias,Del Valle Laranja 500ml,200 Kcal
Bebidas Frias,Del Valle Laranja 700ml,280 Kcal
Bebidas Frias,Del Valle Uva 300ml,120 Kcal
Bebidas Frias,Del Valle Uva 500ml,200 Kcal
Bebidas Frias,Del Valle Uva 700ml,280 Kcal
Bebidas Frias,Água Mineral,0 Kcal
Bebidas Frias,Del Valle 100% Uva (McLanche Feliz),118 Kcal
Sobremesas,Petit Suisse do Méqui,40 kcal
Sobremesas,Casquinha Baunilha,170 Kcal
Sobremesas,Casquinha Chocolate,165 Kcal
Sobremesas,Casquinha Mista,168 Kcal
Sobremesas,Sundae Morango,273 Kcal
Sobremesas,Sundae Chocolate,302 Kcal
Sobremesas,Top Sundae Morango,354 Kcal
Sobremesas,Top Sundae Chocolate,396 Kcal
Sobremesas,McColosso Chocolate,265 Kcal
Sobremesas,McFlurry Chocrocante com Diamante Negro,573 Kcal
Sobremesas,Torta de Maçã,205 Kcal
Sobremesas,Torta de Banana,198 Kcal
Sobremesas,McShake Morango,425 Kcal
Sobremesas,McShake Ovomaltine,562 Kcal
Sobremesas,McShake Kopenhagen,758 Kcal
Sobremesas,McFlurry Ovomaltine Rocks Ao Leite Chocolate,468 Kcal
Sobremesas,McFlurry M&Ms Chocolate,520 Kcal
Sobremesas,McFlurry M&Ms Morango,504 Kcal
Sobremesas,McFlurry Ovomaltine Rocks Ao Leite Morango,453 Kcal
Sobremesas,Kit Kat com Leite em Pó Mais Querido do Brasil Chocolate,616 Kcal
Sobremesas,Kit Kat com Leite em Pó Mais Querido do Brasil Morango,587 Kcal
